Radius_index	Avg_Temperature
0	500.0000
1	501.5238
2	500.7176
3	500.0000
4	500.0000
5	500.0000
6	500.0000
7	500.0000
8	500.0000
9	500.0000
10	500.0000
11	500.0011
12	500.0000
13	500.0001
14	500.0000
15	500.0123
16	765.1255
17	1800.1194
18	2981.6748
19	3252.9071
20	3268.9304
21	3580.4989
22	4022.9242
23	3940.7656
24	3867.5019
25	3833.9100
26	3833.6344
27	3858.2479
28	3894.4401
29	3930.8046
30	3960.4092
31	3981.7530
32	3996.1516
33	4006.0512
34	4013.4249
35	4019.3713
36	4024.1717
37	4027.2999
38	4027.5237
39	4023.5412
40	4015.0291
41	4003.2097
42	3990.4657
43	3979.5521
44	3972.9294
45	3972.2609
46	3976.9598
47	3988.9827
48	4009.7169
49	4034.0567
50	4056.1817
51	4072.2325
52	4081.5983
53	4084.9358
54	4082.9453
55	4077.0601
56	4069.4760
57	4061.7823
58	4054.3089
59	4047.2108
60	4041.6858
61	4039.7892
62	4043.2652
63	4052.5007
64	4066.2070
65	4081.9898
66	4097.4638
67	4110.9775
68	4121.3049
69	4126.8104
70	4125.2235
71	4114.5007
72	4093.9552
73	4064.5145
74	4027.9983
75	3986.2037
76	3940.4313
77	3891.4799
78	3839.8202
79	3785.7346
80	3729.4041
81	3670.9957
82	3610.7633
83	3549.1219
84	3486.6672
85	3424.1418
86	3362.3803
87	3302.2494
88	3244.5659
89	3189.9933
90	3138.9109
91	3091.2740
92	3046.4946
93	3003.3747
94	2960.1053
95	2914.3368
96	2863.3351
97	2804.2885
98	2734.8443
99	2653.8419
100	2561.9764
101	2462.0221
102	2358.5059
103	2256.5202
104	2163.6159
105	2084.3004
106	2024.9372
107	1991.0456
108	1987.0604
109	2015.9205
110	2078.5096
111	2173.4454
112	2297.2138
113	2444.7663
114	2610.5213
115	2789.2811
116	2976.7767
117	3169.8301
118	3366.2769
119	3564.8070
120	3764.8006
121	3966.1602
122	4169.2145
123	4374.5388
124	4582.7828
125	4794.5776
126	5010.5735
127	5231.5461
128	5458.3628
129	5691.7037
130	5931.7151
131	6177.8961
132	6429.3318
133	6685.1099
134	6944.5268
135	7207.2645
136	7473.4026
137	7743.5342
138	8018.7066
139	8300.9858
140	8593.5344
141	8899.5161
142	9221.6868
143	9561.3907
144	9917.2845
145	10285.0931
146	10657.8291
147	11024.7050
148	11375.9997
149	11704.6949
150	12019.9601
151	12315.5578
152	12594.4726
153	12847.9814
154	13051.9148
155	13198.1682
156	13303.2756
157	13379.1435
158	13428.8953
159	13454.3719
160	13458.4196
161	13444.0621
162	13413.9315
163	13370.9973
164	13323.2616
165	13269.2424
166	13206.9272
167	13135.3175
168	13054.2390
169	12963.9177
170	12864.7060
171	12756.9784
172	12641.1151
173	12517.5094
174	12386.5754
175	12248.7552
176	12104.5291
177	11954.4190
178	11798.9773
179	11638.7621
180	11474.3074
181	11306.0994
182	11134.5696
183	10960.0957
184	10782.9920
185	10603.4608
186	10421.5010
187	10236.8121
188	10048.8435
189	9857.0100
190	9661.8736
191	9465.1795
192	9274.4134
193	9093.7687
194	8939.6216
195	8815.4045
196	8700.3423
197	8588.5775
198	8478.4978
199	8369.4753
200	8260.8798
201	8152.1519
202	8043.0259
203	7933.3660
204	7822.7960
205	7710.6259
206	7596.1735
207	7479.0761
208	7359.2710
209	7236.8152
210	7111.8690
211	6984.8218
212	6856.2730
213	6726.7900
214	6596.6832
215	6465.9991
216	6334.6414
217	6202.4281
218	6069.0585
219	5934.1039
220	5797.0951
221	5657.6805
222	5515.8045
223	5371.8637
224	5226.7312
225	5081.3944
226	4935.9451
227	4787.9883
228	4631.7867
229	4459.7021
230	4274.9448
231	4106.9928
232	4018.0587
233	4020.7876
234	0.0000
