cell_number	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	0.09521	3659000000000.0	126700.0	29.09	60710.0	464.6	473.4	474.8	473.6	10890000000.0	42.14	935.1	0.00277	0.07095	0.03905	3.114e-18	4.611e-26	308400000000000.0	175300000000000.0	145800000000000.0	72380000000000.0	276800000000000.0	153000000000000.0	95650000000000.0	37430000000000.0	266000000000000.0	59200000000000.0	0.01505	10890000000.0	63900.0	428500.0	0.06322	3.612	3.632	3.643	3.68	45230.0	37.31	583.5	45980.0	261300.0	3.681	3.713	3.748	0.00016	11810000.0	1.916	7685.0	2.638e-06	0.003664	2.904e-30	4.325e-38	1.55	0.5641	0.2708	0.5646	0.9679	0.2707	0.5267	0.5189	0.4597	8.057	0.0304	3.794e-46	1.151e-29	49.95	57180.0	264.4	155.5	4795.0	47.69	0.0468	0.002578	3.712	3.723	2.435	1922.0	5.125e-74	2.957e-27	10740000000000.0	3347000000000.0	8885000000000.0	156800000000.0	3355000000000.0	5280000000000.0	1.99e-10	11.9	0.01224	7.764	3.68	3.751	1.707e-37	124.1	0.03159	111.1	2070.0	290.0	2041.0	254.4	118.6	0.09544	0.02006	0.04575	3.691	62460.0	44.38	0.04006	3.758	8.798e-05	1.201	1198.0	0.0004159	5.597	7.374e-05	0.02051	0.0001365	7.077e-12	0.02026	7.357e-15	4261000.0	1.312e-05	2.659e-30	11.16	1423.0	7.995e-13	1.089e-11	4.211e-19	2570000000.0	5.266e-09	86.85	0.0	1423.0	1.171e-34	1.494e-32	1.186e-34	1.16e-34	1.673e-07	10700.0	0.0345	0.005754	0.01896	0.7171	44930.0	0.1281	3.778e-102	1.545e-185	6.82e-06	1.708e-12	28.16	2.936e-245	1.07e-57	2.886e-141	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	336.7	-0.0	2.486	-0.0	-0.0	-0.0	0.05441	-0.0	-0.0	30.91	-0.0	20.76	-0.0	1.428e-05	-0.0	-0.0	36.18
3.0	0.1351	549800000000.0	168400.0	11.36	25400.0	120.2	120.2	120.2	120.2	15340000000.0	56.49	1257.0	0.003854	0.0992	0.5039	6.426e-19	8.22e-26	47170000000000.0	26640000000000.0	21860000000000.0	10860000000000.0	42390000000000.0	23240000000000.0	14340000000000.0	5601000000000.0	40300000000000.0	8879000000000.0	0.002475	15340000000.0	10050.0	580800.0	0.009723	0.5652	0.5648	0.5648	0.5652	60150.0	14.57	144.8	19240.0	109400.0	0.5652	0.5648	0.5648	6.943e-05	1821000.0	6.889	10300.0	4.028e-07	0.0005557	5.487e-30	7.067e-37	2.197	0.7943	0.3763	0.795	1.359	0.3766	0.7316	0.7212	0.6376	100.9	0.04232	9.462e-47	6.151e-30	19.76	76990.0	65.62	38.97	2006.0	18.82	0.007127	0.0003889	0.5648	0.5648	3.308	2581.0	2.253e-74	5.319e-27	1634000000000.0	502700000000.0	1335000000000.0	23560000000.0	502700000000.0	793300000000.0	9.088e-11	1.909	0.001847	3.057	0.5652	0.5648	7.884e-37	49.4	0.004869	27.93	513.6	72.68	505.2	63.15	46.93	0.01458	0.003055	0.006903	0.5652	83340.0	17.29	0.006028	0.5648	1.342e-05	0.4693	296.1	0.005027	12.37	9.797e-05	0.005186	0.0001888	1.073e-12	0.005022	1.442e-15	19280000.0	3.263e-06	3.418e-29	1.73	368.3	1.212e-12	2.766e-11	7.704e-20	393500000.0	6.721e-08	34.58	0.0	368.3	2.383e-35	5.074e-33	2.383e-35	2.383e-35	9.924e-09	14160.0	0.1709	0.004183	0.01369	0.2809	60230.0	0.4992	1.186e-102	1.586e-185	1.815e-06	4.739e-13	7.071	4.098e-245	3.756e-58	1.693e-140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	133.3	-0.0	0.9629	-0.0	-0.0	-0.0	0.05472	-0.0	-0.0	12.08	-0.0	74.42	-0.0	5.545e-06	-0.0	-0.0	14.17
4.0	0.1192	83560000000.0	152200.0	2.887	9742.0	29.21	29.21	29.21	29.21	13420000000.0	50.77	965.0	0.003395	0.07457	2.573	8.242e-20	6.567e-26	7173000000000.0	4052000000000.0	3325000000000.0	1652000000000.0	6443000000000.0	3535000000000.0	2182000000000.0	851900000000.0	6130000000000.0	1351000000000.0	0.0003044	13420000000.0	1485.0	525000.0	0.001478	0.08596	0.08591	0.08591	0.08596	54370.0	3.703	34.78	7379.0	41940.0	0.08596	0.08591	0.08591	1.649e-05	273800.0	10.15	7917.0	6.069e-08	7.197e-05	4.11e-30	3.291e-36	1.938	0.7011	0.3321	0.7015	1.199	0.3323	0.6457	0.6365	0.5627	523.6	0.03733	1.098e-47	1.322e-30	5.022	69590.0	15.76	9.361	769.5	4.781	0.001083	5.911e-05	0.08591	0.08591	2.952	1982.0	4.26e-75	4.233e-27	248300000000.0	76400000000.0	202900000000.0	3581000000.0	76400000000.0	120600000000.0	2.161e-11	0.241	0.0002808	0.7747	0.08596	0.08591	1.055e-36	12.55	0.0007394	6.706	123.3	17.45	121.3	15.17	11.93	0.002217	0.0004644	0.001049	0.08596	75290.0	4.394	0.0009163	0.08591	1.48e-06	0.1193	71.14	0.02658	17.64	8.861e-05	0.001246	0.0001701	1.627e-13	0.001206	1.959e-16	40440000.0	7.832e-07	1.749e-28	0.2631	89.45	1.027e-12	3.738e-11	1.079e-20	59810000.0	3.45e-07	8.788	0.0	89.45	3.206e-36	1.09e-33	3.206e-36	3.206e-36	4.254e-10	8363.0	0.3415	0.001837	0.006018	0.1093	54370.0	0.8246	1.337e-103	1.816e-186	4.214e-07	1.076e-13	1.693	3.94e-246	7.533e-59	1.454e-140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	51.97	-0.0	0.3754	-0.0	-0.0	-0.0	0.03567	-0.0	-0.0	4.01	-0.0	168.3	-0.0	2.162e-06	-0.0	-0.0	5.517
5.0	0.08788	12690000000.0	114800.0	0.6546	3771.0	7.119	7.119	7.119	7.119	9824000000.0	38.07	725.1	0.002502	0.05499	9.202	1.075e-20	4.345e-26	1090000000000.0	615500000000.0	505100000000.0	251000000000.0	978000000000.0	536900000000.0	331400000000.0	129400000000.0	931200000000.0	205200000000.0	4.412e-05	9824000000.0	219.9	395700.0	0.0002244	0.01306	0.01305	0.01305	0.01306	40980.0	0.8395	8.389	2856.0	16230.0	0.01306	0.01305	0.01305	3.519e-06	41110.0	11.17	5957.0	9.142e-09	1.092e-05	2.619e-30	1.063e-35	1.43	0.5174	0.2451	0.5176	0.885	0.2452	0.4765	0.4697	0.4153	1899.0	0.02754	1.31e-48	2.579e-31	1.138	52460.0	3.802	2.258	297.8	1.083	0.0001645	8.974e-06	0.01305	0.01305	2.2	1490.0	7.982e-76	2.79e-27	37690000000.0	11600000000.0	30810000000.0	543700000.0	11600000000.0	18300000000.0	4.566e-12	0.03561	4.263e-05	0.1752	0.01306	0.01305	1.043e-36	2.846	0.0001121	1.617	29.75	4.21	29.26	3.658	2.704	0.0003365	7.052e-05	0.0001593	0.01306	56730.0	0.9961	0.0001391	0.01305	2.243e-07	0.02704	17.16	0.09804	21.1	6.683e-05	0.0003005	0.0001279	2.464e-14	0.0002911	2.642e-17	59030000.0	1.888e-07	6.266e-28	0.03997	21.8	7.313e-13	4.263e-11	1.503e-21	9079000.0	1.239e-06	1.992	0.0	21.8	4.278e-37	2.334e-34	4.278e-37	4.278e-37	2.506e-11	3680.0	0.4774	0.0006201	0.002033	0.0426	40980.0	0.8698	1.482e-104	2.262e-187	9.876e-08	2.473e-14	0.4078	4.192e-247	1.549e-59	1.107e-140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	20.25	-0.0	0.1463	-0.0	-0.0	-0.0	0.02075	-0.0	-0.0	1.561	-0.0	318.6	-0.0	8.423e-07	-0.0	-0.0	2.15
6.0	0.05913	1921000000.0	77200.0	0.1877	1463.0	1.734	1.734	1.734	1.734	6609000000.0	25.61	487.8	0.001683	0.037	27.51	1.628e-21	2.96e-26	165000000000.0	93200000000.0	76440000000.0	38000000000.0	148100000000.0	81290000000.0	50190000000.0	19600000000.0	141000000000.0	31070000000.0	6.676e-06	6610000000.0	47.72	266200.0	4.87e-05	0.001977	0.001976	0.001976	0.001977	27570.0	0.2408	2.024	1108.0	6297.0	0.001977	0.001976	0.001976	1.008e-06	8932.0	14.23	4007.0	1.984e-09	2.371e-06	1.762e-30	3.216e-35	0.9623	0.3481	0.1648	0.3483	0.5954	0.165	0.3205	0.316	0.2794	5677.0	0.02656	1.983e-49	7.395e-32	0.3265	35290.0	0.9174	0.5449	115.6	0.3107	3.571e-05	1.948e-06	0.001976	0.001976	1.48	1003.0	1.973e-76	1.901e-27	5707000000.0	1756000000.0	4664000000.0	82310000.0	1756000000.0	2771000000.0	1.318e-12	0.005405	9.253e-06	0.05031	0.001977	0.001975	1.346e-36	0.8162	2.434e-05	0.3902	7.178	1.016	7.06	0.8826	0.7753	7.305e-05	1.531e-05	3.458e-05	0.001977	38170.0	0.2857	3.019e-05	0.001976	3.397e-08	0.007753	4.138	0.2931	22.62	6.446e-05	7.251e-05	8.604e-05	7.668e-15	7.017e-05	4.046e-18	68670000.0	6.531e-08	1.873e-27	0.006052	5.309	4.92e-13	4.612e-11	3.289e-22	1375000.0	3.705e-06	0.5713	0.0	5.309	6.559e-38	5.754e-35	6.559e-38	6.559e-38	1.476e-12	1824.0	0.5553	0.0001751	0.0005741	0.01658	27570.0	0.6849	2.313e-105	5.457e-188	2.383e-08	5.968e-15	0.0984	1.012e-247	3.737e-60	1.187e-140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	7.879	-0.0	0.05691	-0.0	-0.0	-0.0	0.0153	-0.0	-0.0	0.6075	-0.0	550.9	-0.0	3.278e-07	-0.0	-0.0	0.8364
7.0	0.03674	291500000.0	47950.0	0.1248	569.3	0.4227	0.4227	0.4227	0.4227	4105000000.0	15.91	303.2	0.001046	0.023	69.97	2.47e-22	1.856e-26	25040000000.0	14150000000.0	11610000000.0	5768000000.0	22480000000.0	12340000000.0	7618000000.0	2974000000.0	21400000000.0	4716000000.0	1.014e-06	4106000000.0	91.48	165400.0	9.336e-05	0.0003001	0.0003	0.0003	0.0003001	17130.0	0.16	0.4902	431.2	2450.0	0.0003001	0.0003	0.0003	6.7e-07	17130.0	38.71	2491.0	3.804e-09	4.547e-06	1.095e-30	8.25e-35	0.5979	0.2163	0.1025	0.2164	0.37	0.1025	0.1992	0.1964	0.1736	14430.0	0.2084	3.008e-50	4.914e-32	0.217	21920.0	0.2222	0.132	44.97	0.2065	6.846e-05	3.734e-06	0.0003	0.0003	0.9193	623.1	4.863e-77	1.192e-27	866100000.0	266500000.0	707800000.0	12490000.0	266500000.0	420500000.0	8.802e-13	0.0008222	1.774e-05	0.03337	0.0003001	0.0003	3.695e-36	0.5424	4.667e-05	0.09452	1.739	0.246	1.71	0.2138	0.5153	0.00014	2.934e-05	6.628e-05	0.0003001	23700.0	0.1898	5.788e-05	0.0002999	5.162e-09	0.005153	1.003	0.7452	22.42	0.0005056	1.756e-05	5.345e-05	1.857e-13	1.701e-05	6.191e-19	68000000.0	1.998e-07	4.764e-27	0.0009186	1.295	3.056e-13	4.602e-11	6.344e-22	208600.0	9.424e-06	0.3797	0.0	1.295	1.004e-38	1.416e-35	1.004e-38	1.004e-38	8.743e-14	1933.0	0.5503	4.439e-05	0.0001455	0.006459	17130.0	0.4452	3.588e-106	1.321e-188	5.772e-09	1.445e-15	0.02383	2.45e-248	9.052e-61	1.176e-140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	3.07	-0.0	0.02217	-0.0	-0.0	-0.0	0.02609	-0.0	-0.0	0.2368	-0.0	878.6	-0.0	1.277e-07	-0.0	-0.0	0.3259
8.0	0.02143	44320000.0	27940.0	0.1712	221.9	0.1032	0.1032	0.1032	0.1032	2392000000.0	9.271	351.5	0.0006099	0.02669	156.4	3.756e-23	1.089e-26	3811000000.0	2153000000.0	1767000000.0	877800000.0	3421000000.0	1878000000.0	1159000000.0	452700000.0	3257000000.0	717700000.0	3.07e-07	2392000000.0	190.6	96350.0	0.0001945	4.566e-05	4.565e-05	4.565e-05	4.566e-05	9979.0	0.2196	0.1191	168.0	954.8	4.566e-05	4.565e-05	4.565e-05	9.188e-07	35680.0	203.4	2887.0	7.923e-09	1.884e-05	6.378e-31	1.855e-34	0.3487	0.1261	0.05975	0.1262	0.2158	0.05977	0.1162	0.1145	0.1012	32230.0	1.664	4.57e-51	6.738e-32	0.2978	12770.0	0.05399	0.03206	17.52	0.2834	0.0001426	7.778e-06	4.565e-05	4.565e-05	0.5356	722.4	1.198e-77	6.992e-28	131700000.0	40520000.0	107600000.0	1899000.0	40520000.0	63940000.0	1.212e-12	0.0002491	3.695e-05	0.04582	4.566e-05	4.565e-05	1.956e-35	0.7445	9.722e-05	0.02296	0.4224	0.05977	0.4155	0.05193	0.7073	0.0002917	6.112e-05	0.0001381	4.566e-05	13810.0	0.2606	0.0001206	4.564e-05	3.11e-09	0.007073	0.2437	1.664	20.85	0.004033	4.267e-06	3.114e-05	5.294e-12	4.133e-06	9.477e-20	59180000.0	6.643e-07	1.065e-26	0.0001398	0.316	1.781e-13	4.301e-11	1.328e-21	31720.0	2.106e-05	0.5212	0.0	0.316	1.538e-39	3.477e-36	1.538e-39	1.538e-39	2.055e-14	3963.0	0.4798	1.072e-05	3.515e-05	0.00252	9979.0	0.2579	5.554e-107	3.207e-189	1.402e-09	3.512e-16	0.005791	5.949e-249	2.199e-61	1.094e-140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.198	-0.0	0.00865	-0.0	-0.0	-0.0	0.0918	-0.0	-0.0	0.1838	-0.0	1314.0	-0.0	4.981e-08	-0.0	-0.0	0.1271
9.0	0.01186	6742000.0	15430.0	0.251	86.45	0.02519	0.02519	0.02519	0.02519	1321000000.0	5.118	728.4	0.0003377	0.05547	314.3	5.716e-24	6.054e-27	581500000.0	328500000.0	269600000.0	133900000.0	522000000.0	286500000.0	176900000.0	69080000.0	497000000.0	109500000.0	1.758e-07	1321000000.0	375.3	53200.0	0.000383	6.966e-06	6.964e-06	6.964e-06	6.966e-06	5510.0	0.322	0.029	65.48	372.0	6.966e-06	6.964e-06	6.964e-06	1.343e-06	70100.0	1079.0	5984.0	1.56e-08	0.0001393	3.522e-31	3.741e-34	0.1931	0.06985	0.03309	0.06987	0.1195	0.0331	0.06434	0.06342	0.05606	64590.0	11.89	6.933e-52	9.852e-32	0.4366	7052.0	0.01314	0.007806	6.828	0.4155	0.0002808	1.532e-05	6.964e-06	6.964e-06	0.2957	1497.0	2.944e-78	3.875e-28	20030000.0	6165000.0	16370000.0	289000.0	6165000.0	9728000.0	1.778e-12	0.0001424	7.276e-05	0.06715	6.966e-06	6.965e-06	1.044e-34	1.091	0.0001915	0.005591	0.1028	0.01455	0.1011	0.01264	1.037	0.0005744	0.0001204	0.0002719	6.966e-06	7625.0	0.382	0.0002374	6.964e-06	6.684e-09	0.01037	0.05936	3.334	18.38	0.02874	1.039e-06	1.719e-05	1.346e-10	1.006e-06	1.45e-20	46180000.0	2.088e-06	2.14e-26	2.133e-05	0.07716	9.831e-14	3.801e-11	2.627e-21	4826.0	4.233e-05	0.764	0.0	0.07716	2.355e-40	8.521e-37	2.356e-40	2.355e-40	1.725e-14	8214.0	0.3766	2.513e-06	8.239e-06	0.0009841	5510.0	0.1371	8.582e-108	7.788e-190	3.414e-10	8.55e-17	0.00141	1.445e-249	5.355e-62	9.639e-141	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.4677	-0.0	0.003379	-0.0	-0.0	-0.0	0.3446	-0.0	-0.0	0.2695	-0.0	1862.0	-0.0	1.946e-08	-0.0	-0.0	0.04965
